event_name,event_date,event_location,event_url,fight_url,match_outcome,fighter_1,fighter_1_url,fighter_2,fighter_2_url,winner_name,winner_url,kd,strikes,td,sub,weight_class,method,round_num,fight_time,extracted_at
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/babc6b5745335f18,http://www.ufcstats.com/fight-details/8bee5192baec71d8,win,Jose Delgado,http://www.ufcstats.com/fighter-details/7d6ceff6747f2de2,Andre Fili,http://www.ufcstats.com/fighter-details/8fd808923cffff82,Jose Delgado,http://www.ufcstats.com/fighter-details/7d6ceff6747f2de2,0-0,94-62,1-4,0-0,Featherweight,S-DEC-,3,5:00,2026-04-05 09:04:40
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/babc6b5745335f18,http://www.ufcstats.com/fight-details/f44b4e998b6829f6,win,Elijah Smith,http://www.ufcstats.com/fighter-details/7478b7f959ba61f5,SuYoung You,http://www.ufcstats.com/fighter-details/a474aade8eb3a8f0,Elijah Smith,http://www.ufcstats.com/fighter-details/7478b7f959ba61f5,1-0,16-3,0-4,1-0,Bantamweight,SUB-Rear Naked Choke,2,1:04,2026-04-05 09:04:40
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/babc6b5745335f18,http://www.ufcstats.com/fight-details/e0acd0cf4930671b,win,Marwan Rahiki,http://www.ufcstats.com/fighter-details/6eedb757f13b9978,Harry Hardwick,http://www.ufcstats.com/fighter-details/2dbc60c52de126d8,Marwan Rahiki,http://www.ufcstats.com/fighter-details/6eedb757f13b9978,0-0,90-65,0-0,0-0,Featherweight,KO/TKO-,2,5:00,2026-04-05 09:04:40
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/babc6b5745335f18,http://www.ufcstats.com/fight-details/db7694f4513120d5,win,Ion Cutelaba,http://www.ufcstats.com/fighter-details/cd13728ae1151f46,Oumar Sy,http://www.ufcstats.com/fighter-details/46e2011d92463b7e,Ion Cutelaba,http://www.ufcstats.com/fighter-details/cd13728ae1151f46,0-0,14-5,1-0,1-0,Light Heavyweight,SUB-Guillotine Choke,1,4:24,2026-04-05 09:04:40
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/babc6b5745335f18,http://www.ufcstats.com/fight-details/f594fc5c2bc6237e,win,Kevin Vallejos,http://www.ufcstats.com/fighter-details/239d8e5359022f3b,Josh Emmett,http://www.ufcstats.com/fighter-details/fba03cd6cc28dc41,Kevin Vallejos,http://www.ufcstats.com/fighter-details/239d8e5359022f3b,2-0,36-3,0-0,0-0,Featherweight,KO/TKO-Punches,1,3:33,2026-04-05 09:04:40
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/babc6b5745335f18,http://www.ufcstats.com/fight-details/fc9168fd102e2e66,win,Charles Johnson,http://www.ufcstats.com/fighter-details/814e5233e2acf2ee,Bruno Silva,http://www.ufcstats.com/fighter-details/294aa73dbf37d281,Charles Johnson,http://www.ufcstats.com/fighter-details/814e5233e2acf2ee,0-0,85-73,0-0,0-0,Flyweight,S-DEC-,3,5:00,2026-04-05 09:04:40
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/babc6b5745335f18,http://www.ufcstats.com/fight-details/f26c0bdf7689aea2,win,Myktybek Orolbai,http://www.ufcstats.com/fighter-details/bf2c8e01b07d3eb1,Chris Curtis,http://www.ufcstats.com/fighter-details/5442f1bc4b47eaf3,Myktybek Orolbai,http://www.ufcstats.com/fighter-details/bf2c8e01b07d3eb1,0-0,20-12,19-0,0-0,Welterweight,U-DEC-,3,5:00,2026-04-05 09:04:40
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/babc6b5745335f18,http://www.ufcstats.com/fight-details/2c330a6f7f1e55f0,win,Vitor Petrino,http://www.ufcstats.com/fighter-details/71171fc96445bf65,Steven Asplund,http://www.ufcstats.com/fighter-details/e56cee1ad697db04,Vitor Petrino,http://www.ufcstats.com/fighter-details/71171fc96445bf65,0-1,92-61,0-0,0-0,Heavyweight,U-DEC-,3,5:00,2026-04-05 09:04:40
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/babc6b5745335f18,http://www.ufcstats.com/fight-details/c769dd861357af9f,win,Manoel Sousa,http://www.ufcstats.com/fighter-details/5870c541798124ae,Bolaji Oki,http://www.ufcstats.com/fighter-details/4bdedbdeedff7d1d,Manoel Sousa,http://www.ufcstats.com/fighter-details/5870c541798124ae,2-0,71-84,0-1,1-0,Lightweight,KO/TKO-Punch,3,4:12,2026-04-05 09:04:40
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/babc6b5745335f18,http://www.ufcstats.com/fight-details/cff81d681a01ae18,win,Eryk Anders,http://www.ufcstats.com/fighter-details/cad24459b28592ca,Brad Tavares,http://www.ufcstats.com/fighter-details/0c6d9ea8306c029e,Eryk Anders,http://www.ufcstats.com/fighter-details/cad24459b28592ca,0-1,35-48,3-0,0-0,Middleweight,U-DEC-,3,5:00,2026-04-05 09:04:40
