event_id,event_name,event_date,url_link
1,UFC Fight Night: Magny vs. Prates,2024-11-09,http://www.ufcstats.com/event-details/585f9ffdb0cd0466
2,UFC Fight Night: Moreno vs. Albazi,2024-11-02,http://www.ufcstats.com/event-details/3ab0df1ddd5f1dc2
3,UFC 308: Topuria vs. Holloway,2024-10-26,http://www.ufcstats.com/event-details/221b2a3070c7ce3e
4,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,http://www.ufcstats.com/event-details/6a0047ac8c99fece
5,UFC Fight Night: Royval vs. Taira,2024-10-12,http://www.ufcstats.com/event-details/5bdcbd8dd681a257
6,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,http://www.ufcstats.com/event-details/eee8efec7b951d84
7,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,http://www.ufcstats.com/event-details/079488710f012779
8,UFC 306: Riyadh Season Noche UFC,2024-09-14,http://www.ufcstats.com/event-details/0c01568b1ac77bff
9,UFC Fight Night: Burns vs. Brady,2024-09-07,http://www.ufcstats.com/event-details/ee0b69e307c857e5
10,UFC Fight Night: Cannonier vs. Borralho,2024-08-24,http://www.ufcstats.com/event-details/be8ad887e4d674b0
11,UFC 305: Du Plessis vs. Adesanya,2024-08-17,http://www.ufcstats.com/event-details/32ba186f4b0e3267
12,UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,http://www.ufcstats.com/event-details/2c733e059462c1dc
13,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,http://www.ufcstats.com/event-details/fe435e440b5de0ff
14,UFC 304: Edwards vs. Muhammad 2,2024-07-27,http://www.ufcstats.com/event-details/026b4f7049085842
15,UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,http://www.ufcstats.com/event-details/c11036da9162cb5f
16,UFC Fight Night: Namajunas vs. Cortez,2024-07-13,http://www.ufcstats.com/event-details/66e0a70352fef46a
17,UFC 303: Pereira vs. Prochazka 2,2024-06-29,http://www.ufcstats.com/event-details/f3743d8ef5dde970
18,UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
19,UFC Fight Night: Perez vs. Taira,2024-06-15,http://www.ufcstats.com/event-details/9c5828c6fd9dc948
20,UFC Fight Night: Cannonier vs. Imavov,2024-06-08,http://www.ufcstats.com/event-details/cba3a2dfbc06ce79
21,UFC 302: Makhachev vs. Poirier,2024-06-01,http://www.ufcstats.com/event-details/6e4acc2c115215b5
22,UFC Fight Night: Barboza vs. Murphy,2024-05-18,http://www.ufcstats.com/event-details/46baf0f57edfa4df
23,UFC Fight Night: Lewis vs. Nascimento,2024-05-11,http://www.ufcstats.com/event-details/5dfe71ade71f3a4b
24,UFC 301: Pantoja vs. Erceg,2024-05-04,http://www.ufcstats.com/event-details/981ab7a0576f76a0
25,UFC Fight Night: Nicolau vs. Perez,2024-04-27,http://www.ufcstats.com/event-details/a16ce18149021139
26,UFC 300: Pereira vs. Hill,2024-04-13,http://www.ufcstats.com/event-details/6750e338922a099d
27,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,http://www.ufcstats.com/event-details/899eaba48fa864a6
28,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,http://www.ufcstats.com/event-details/dba230fe33011201
29,UFC Fight Night: Ribas vs. Namajunas,2024-03-23,http://www.ufcstats.com/event-details/79ff6545b0abc685
30,UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,http://www.ufcstats.com/event-details/c398235fcaf8d71d
31,UFC 299: O'Malley vs. Vera 2,2024-03-09,http://www.ufcstats.com/event-details/a9df5ae20a97b090
32,UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,http://www.ufcstats.com/event-details/e4a9dbade7c7e1a7
33,UFC Fight Night: Moreno vs. Royval 2,2024-02-24,http://www.ufcstats.com/event-details/902ab9197b83d0db
34,UFC 298: Volkanovski vs. Topuria,2024-02-17,http://www.ufcstats.com/event-details/dab0e6cb8c932162
35,UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,http://www.ufcstats.com/event-details/eaea0fc7b76525a8
36,UFC Fight Night: Dolidze vs. Imavov,2024-02-03,http://www.ufcstats.com/event-details/cce79e827569f26e
37,UFC 297: Strickland vs. Du Plessis,2024-01-20,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
38,UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,http://www.ufcstats.com/event-details/010986ee359fb863
39,UFC 296: Edwards vs. Covington,2023-12-16,http://www.ufcstats.com/event-details/a8e8587a06e73c87
40,UFC Fight Night: Song vs. Gutierrez,2023-12-09,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
